TIME,Volts,Watts,category
6193726.041503906,10.609977235772357,14.254571544715452,middle
6253861.046630859,10.60454390243902,14.211697560975605,middle
6313991.990478516,10.598048780487808,14.314082926829268,middle
6374125.0078125,10.58990325203252,14.171025203252034,middle
6434258.976074219,10.582869918699185,14.244713008130079,middle
6494393.030029297,10.5790837398374,14.299081300813016,middle
6554526.998291016,10.570203252032522,14.264333333333335,middle
6614660.015625,10.565313008130083,14.336721138211388,middle
6674791.046142578,10.55692357723577,14.420358536585365,middle
6734925.013916016,10.555749593495937,14.166054471544712,middle
6795060.019042969,10.549030894308945,14.259616260162602,middle
6855195.023925781,10.541084552845525,14.221456097560974,middle
6915328.041259766,10.537743089430894,14.257266666666666,middle
6975462.009521484,10.531021951219513,14.301091056910568,middle
7035593.990234375,10.525354471544716,14.326389430894302,middle
7095727.008056641,10.519604065040651,14.198783739837396,middle
7155860.975830078,10.51488211382114,14.190421138211388,middle
7215995.0302734375,10.510225203252029,14.22320081300813,middle
7276128.048095703,10.504753658536583,14.203126016260166,middle
7336260.979248047,10.497491869918708,14.284009756097557,middle
7396395.033691406,10.49280162601626,14.260718699186993,middle
7456528.05078125,10.485541463414636,14.276312195121957,middle
7516662.969238281,10.48330325203252,14.242660162601629,middle
7576797.023681641,10.479185365853654,14.261796747967479,middle
7636929.0048828125,10.470390243902434,14.26237317073171,middle
7697062.97265625,10.465809756097562,14.28322276422764,middle
7757197.027099609,10.459034959349593,14.255647154471545,middle
7817330.994873047,10.455010569105694,14.252720325203255,middle
7877465.049316406,10.448941463414636,14.329867479674798,middle
7937599.967529297,10.44151138211382,14.298302439024395,middle
7997734.972412109,10.438549593495935,14.300231707317067,middle
8057867.990478516,10.433420325203253,14.216023577235774,middle
8118002.044921875,10.425895934959351,14.285717886178862,middle
8178134.025390625,10.42059674796748,14.266680487804878,middle
8238267.9931640625,10.418093495934965,14.203255284552855,middle
8298401.010986328,10.408021951219515,14.163647967479672,middle
8358536.9658203125,10.400943089430893,14.245721138211383,middle
8418667.996582031,10.397547967479676,14.253661788617892,middle
8478801.964355469,10.389978861788615,14.257034959349598,middle
8538936.018798828,10.383529268292683,14.266714634146346,middle
8599069.036621094,10.377460162601631,14.211750406504063,middle
8659201.017333984,10.371710569105693,14.100503252032528,low
8719334.03515625,10.362543902439024,14.206985365853663,middle
8779468.002929688,10.35657804878049,14.170190243902436,middle
8839599.98413086,10.34869593495935,14.228813821138212,middle
8899734.038085938,10.340547967479674,14.290625203252032,middle
8959868.006347656,10.33353577235772,14.204421951219516,middle
9019999.987060547,10.325901626016256,14.157334146341464,middle
9080133.004882812,10.319469918699193,14.263357723577235,middle
9140266.021972656,10.310316260162605,14.236539837398377,middle
9200399.990478516,10.298708943089432,14.286894308943085,middle
9260534.044921875,10.294311382113818,14.197408943089428,middle
9320668.012695312,10.28108455284553,14.193924390243902,middle
9380799.043457031,10.27210975609756,14.215574796747967,middle
9440933.010986328,10.262436585365855,14.261600813008126,middle
9501066.028808594,10.250382113821134,14.268171544715457,middle
9561199.046142578,10.241258536585367,14.150348780487803,middle
9621329.990234375,10.227460162601634,14.179825203252037,middle
9681464.044677734,10.213652032520333,14.217183739837399,middle
9741598.012451172,10.19899918699187,14.343839837398365,middle
9801731.98071289,10.18915447154472,14.174556097560977,middle
9861864.048095703,10.174221951219515,14.057395934959352,low
9921998.01586914,10.156017073170734,14.226747967479678,middle
9982131.033691406,10.139024390243899,14.31461463414634,middle
10042263.014160156,10.120165853658536,14.311220325203251,middle
10102396.981933594,10.105617073170732,14.21310731707317,middle
10162529.049316406,10.081651138211381,14.285056910569109,middle
10222661.98046875,10.065570731707314,14.189748780487806,middle
10282794.047851562,10.04807138211382,14.303547967479679,middle
10342928.966064453,10.029575691056912,14.352181300813008,middle
10403063.970947266,10.016512682926825,14.319094308943098,middle
10463198.025390625,10.003591219512204,14.241081300813013,middle
10523333.98046875,9.991205121951218,14.293214634146343,middle
10583470.021972656,9.978566016260162,14.293655284552843,middle
10643605.977539062,9.961279349593497,14.376189430894312,middle
10703740.031982422,9.948084308943086,14.311568292682926,middle
10763873.99975586,9.929829918699184,14.312098373983744,middle
10824005.98022461,9.914022926829267,14.266987804878053,middle
10884142.97241211,9.886703089430895,14.383482113821138,middle
10944274.003173828,9.860595203252037,14.346460162601625,middle
11004407.020507812,9.83008382113821,14.300767479674791,middle
11064540.988769531,9.7898630894309,14.38418943089431,middle
11124672.969238281,9.734413089430893,14.337632520325197,middle
